word,sentence
傷感,祖父翻開舊相冊，看到祖母的照片時，臉上帶着一絲絲的傷感。
擔憂,不必擔憂，他不會遇到危險的。
刺激,這齣恐怖電影令我感到既刺激又害怕。
苦悶,生活瑣事雖令人苦悶，但我們都要積極面對。
寂寞,看著空蕩的房間，我感到既寂寞又無助。
疲乏,經過一整天的爬山健行後，我疲乏極了。
平凡,這家餐廳的菜色很平凡，但味道還算不錯。
孤單,有書本與音樂相伴，他即使獨自在家也不覺孤單。
自卑,長期的批評和否定，令他越來越自卑。
溫柔,她個性溫柔，從不輕易發脾氣。
脆弱,人總有脆弱的時候，不妨向朋友求助，互相扶持。
健康,均衡飲食能令我們身體健康，增強抵抗力。
仁慈,她擁有一顆仁慈的心，總是樂於助人。
坦白,坦白地承認自己的錯誤，是勇敢的表現。
自私,做人不能太自私，多考慮别人的感受吧！
吝嗇,這位老闆非常吝嗇，員工的福利一再被削減。
兇惡,他的眼神兇惡，令人不敢靠近。
乖巧,這個小女孩非常乖巧，總是主動幫媽媽做家務。
狠心,父母不會狠心丟下自己的孩子不管的。
狡猾,這隻狐狸非常狡猾，每次都能從獵人的陷阱中逃脫。
開朗,小明的媽媽性格開朗，總是面帶笑容。
貪心,他太貪心了，連別人的東西也想要。
懶惰,這人太懶惰了，終日待在家中，無所事事。
愚蠢,不要傷害自己，這種做法太愚蠢。
聰明,他聰明過人，成功解決了這個複雜的問題。
矛盾,他的言論前後矛盾，讓人難以理解。
權威,這部著作是物理學界的權威。
尊重,即使意見不同，我們也應尊重他人，聆聽不同的觀點。
教訓,父母的嚴厲教訓，讓他從不敢撒謊。
勉勵,老師常常勉勵同學要努力學習。
家務,母親每天忙於處理家務，從打掃、買菜到做飯，都由她獨個兒完成。
團聚,春節是家人團聚的美好時刻，大家都會回家過年。
友誼,他們兩人從小一起長大，友誼深厚，情同手足。
長輩,過年時，長輩會發紅包給晚輩，這是華人傳統的習俗。
鄰居,隔壁林家是我們相處多年的好鄰居。
刑罰,法官依據案情輕重，判處被告相對的刑罰。
災害,這次地震是一場嚴重的自然災害，造成了巨大的損失。
抵抗,軍隊團結一致，奮力抵抗外敵，保衛國家。
津貼,這家公司制度完善，為員工提供食、宿、交通等各項津貼。
貢獻,他積極參與社區服務，貢獻社會。
悲憤,受到不公平的對待後，他感到悲憤，決定為自己討回公道。
煩躁,不順意的事情一件接着一件，令他十分煩躁。
憂慮,他對於未來的職業發展感到憂慮。
膽怯,這女孩膽量真大，在台上表演，落落大方，毫不膽怯。
內疚,他因沒有及時幫助朋友而感到內疚。
懊悔,他常常做事不細心，事後卻又懊悔不已。
嫌棄,我們不應嫌棄成績稍遜的同學，每個人都有自己的優點和缺點。
靦腆,她面對陌生人時有些靦腆。
嫉妒,他因為同事升職而心生嫉妒。
哀痛,看著昔日的合照，想起已逝世的好友，他哀痛萬分。
堅毅,即使遇到挫折，他仍堅毅地追尋夢想。
謙遜,他的工作表現出色，而且為人謙遜，常常低調行事。
虛偽,他在人前說一套，背後卻做另一套，實在太虛偽了！
狂妄,他雖然滿有才華，但狂妄傲慢，令人厭惡。
樸素,雖然他的衣著樸素，但卻散發出一種自信與從容的氣質。
和藹,這位老師對學生非常和藹，深受大家的喜愛。
委屈,明明不是他的錯，卻要他承擔後果，他感到十分委屈。
